ID,0007CB0A48,0007CB0AD4,0007CB2ED2,0007CB321B,0007CB39C9,0007CB464C,0007F2B770,0007F2B957,0007F2BA9B,0007F2CA05
0007CB0A48,0,0.491228070175439,0.446043165467626,0.636363636363636,0.5,0.377551020408163,0.545454545454545,0.48695652173913,0.58974358974359,0.444444444444444
0007CB0AD4,0.508771929824561,0,0.474226804123711,0.48,0.444444444444444,0.5625,0.392857142857143,0.666666666666667,0.548387096774194,0.173913043478261
0007CB2ED2,0.553956834532374,0.525773195876289,0,0.555555555555556,0.545454545454545,0.423913043478261,0.333333333333333,0.436619718309859,0.411764705882353,0.340909090909091
0007CB321B,0.363636363636364,0.52,0.444444444444444,0,0,0.666666666666667,0.75,0.285714285714286,0.633333333333333,0.333333333333333
0007CB39C9,0.5,0.555555555555556,0.454545454545455,1,0,0.363636363636364,0.818181818181818,0.392857142857143,0.368421052631579,0.25
0007CB464C,0.622448979591837,0.4375,0.576086956521739,0.333333333333333,0.636363636363636,0,0.428571428571429,0.474576271186441,0.5625,0.428571428571429
0007F2B770,0.454545454545455,0.607142857142857,0.666666666666667,0.25,0.181818181818182,0.571428571428571,0,0.48,0.483333333333333,0.5
0007F2B957,0.51304347826087,0.333333333333333,0.563380281690141,0.714285714285714,0.607142857142857,0.525423728813559,0.52,0,0.65,0.5
0007F2BA9B,0.41025641025641,0.451612903225806,0.588235294117647,0.366666666666667,0.631578947368421,0.4375,0.516666666666667,0.35,0,0.571428571428571
0007F2CA05,0.555555555555556,0.826086956521739,0.659090909090909,0.666666666666667,0.75,0.571428571428571,0.5,0.5,0.428571428571429,0
