ID,0007AC2B02,0007CB0942,0007CB44CE,0007CB7051,0007CD6778,0007CD765E,0007CD77C5,0007CDADED,0007CDC443,0007CDDBAF
0007AC2B02,0,0.5,0.666666666666667,0,0.285714285714286,0.4,0.384615384615385,0.666666666666667,0.5,0.428571428571429
0007CB0942,0.5,0,0,0.75,0.5,0.482758620689655,0.363636363636364,0.428571428571429,0,0.5
0007CB44CE,0.333333333333333,1,0,0,0,1,0.25,0,0.333333333333333,0
0007CB7051,1,0.25,1,0,0.333333333333333,0.538461538461538,0.272727272727273,0.363636363636364,0.5,0.333333333333333
0007CD6778,0.714285714285714,0.5,1,0.666666666666667,0,0.818181818181818,0.647058823529412,0.666666666666667,0.8,0
0007CD765E,0.6,0.517241379310345,0,0.461538461538462,0.181818181818182,0,0.571428571428571,0.5,0.75,0.7
0007CD77C5,0.615384615384615,0.636363636363636,0.75,0.727272727272727,0.352941176470588,0.428571428571429,0,0.424242424242424,0.454545454545455,0.272727272727273
0007CDADED,0.333333333333333,0.571428571428571,0,0.636363636363636,0.333333333333333,0.5,0.575757575757576,0,0.6,0.666666666666667
0007CDC443,0.5,1,0.666666666666667,0.5,0.2,0.25,0.545454545454545,0.4,0,0.333333333333333
0007CDDBAF,0.571428571428571,0.5,0,0.666666666666667,1,0.3,0.727272727272727,0.333333333333333,0.666666666666667,0
