ID,0007CA3A3A,0007CB0942,0007CB2302,0007CB30A6,0007CB3713,0007CB47A6,0007CDDBAF,0007CDE223,0007CDEC0B,0007CE0327
0007CA3A3A,0,0.494949494949495,0.451612903225806,0.5625,0.507692307692308,0.458333333333333,0.43298969072165,0.553956834532374,0.45045045045045,0.30188679245283
0007CB0942,0.505050505050505,0,0.478260869565217,0.432432432432432,0.48,0.404494382022472,0.447552447552448,0.472527472527473,0.493055555555556,0.58695652173913
0007CB2302,0.548387096774194,0.521739130434783,0,0.571428571428571,0.571428571428571,0.545454545454545,0.634615384615385,0.54,0.636363636363636,0.545454545454545
0007CB30A6,0.4375,0.567567567567568,0.428571428571429,0,0.454545454545455,0.170731707317073,0.268817204301075,0.333333333333333,0.327586206896552,0.551724137931034
0007CB3713,0.492307692307692,0.52,0.428571428571429,0.545454545454545,0,0.489795918367347,0.419354838709677,0.491228070175439,0.455555555555556,0.517857142857143
0007CB47A6,0.541666666666667,0.595505617977528,0.454545454545455,0.829268292682927,0.510204081632653,0,0.493975903614458,0.724719101123595,0.495283018867925,0.548717948717949
0007CDDBAF,0.56701030927835,0.552447552447552,0.365384615384615,0.731182795698925,0.580645161290323,0.506024096385542,0,0.577358490566038,0.531034482758621,0.462857142857143
0007CDE223,0.446043165467626,0.527472527472527,0.46,0.666666666666667,0.508771929824561,0.275280898876405,0.422641509433962,0,0.405498281786942,0.474683544303797
0007CDEC0B,0.54954954954955,0.506944444444444,0.363636363636364,0.672413793103448,0.544444444444444,0.504716981132076,0.468965517241379,0.594501718213058,0,0.558333333333333
0007CE0327,0.69811320754717,0.41304347826087,0.454545454545455,0.448275862068966,0.482142857142857,0.451282051282051,0.537142857142857,0.525316455696203,0.441666666666667,0
