ID,0007CB0942,0007CB2224,0007CB3491,0007CB4837,0007CD72E3,0007CD77C5,0007CDE223,0007CDEC0B,0007CDEEE2,0007CE0327
0007CB0942,0,0.416666666666667,0.678571428571429,0,0.5,0.85,0.6,1,0.666666666666667,0.333333333333333
0007CB2224,0.583333333333333,0,0.568965517241379,0.466666666666667,0.542372881355932,0.622641509433962,0.659574468085106,0.75,0.5,0.307692307692308
0007CB3491,0.321428571428571,0.431034482758621,0,0.3125,0.451612903225806,0.558823529411765,0.675,0,0.315789473684211,0.2
0007CB4837,1,0.533333333333333,0.6875,0,0.3,0.4,0.764705882352941,0,0.5,0.333333333333333
0007CD72E3,0.5,0.457627118644068,0.548387096774194,0.7,0,0.436363636363636,0.587301587301587,0.454545454545455,0.479166666666667,0.25
0007CD77C5,0.15,0.377358490566038,0.441176470588235,0.6,0.563636363636364,0,0.702702702702703,0.5,0.518987341772152,0.25
0007CDE223,0.4,0.340425531914894,0.325,0.235294117647059,0.412698412698413,0.297297297297297,0,0.666666666666667,0.307692307692308,0.333333333333333
0007CDEC0B,0,0.25,1,1,0.545454545454545,0.5,0.333333333333333,0,0.5,0
0007CDEEE2,0.333333333333333,0.5,0.684210526315789,0.5,0.520833333333333,0.481012658227848,0.692307692307692,0.5,0,0.166666666666667
0007CE0327,0.666666666666667,0.692307692307692,0.8,0.666666666666667,0.75,0.75,0.666666666666667,0,0.833333333333333,0
