ID,0007CB64B4,0007CB7051,0007CD5116,0007CD765E,0007CD86B3,0007CDAD6B,0007CDADED,0007CDC395,0007CDC443,0007CDE4F0
0007CB64B4,0,0.685714285714286,0.0588235294117647,0,0.571428571428571,1,0.416666666666667,0.514018691588785,0.666666666666667,0.537037037037037
0007CB7051,0.314285714285714,0,0,0.2,0.423728813559322,0,0.294117647058824,0.474358974358974,0.290322580645161,0.1875
0007CD5116,0.941176470588235,1,0,0.5,0,0,1,0,0,0.1875
0007CD765E,0,0.8,0.5,0,0,0,0.5,0,0.75,1
0007CD86B3,0.428571428571429,0.576271186440678,1,0,0,0,0.421052631578947,0.352941176470588,0.318181818181818,0.397260273972603
0007CDAD6B,0,1,0,0,0,0,0,0,0,0
0007CDADED,0.583333333333333,0.705882352941177,0,0.5,0.578947368421053,0,0,0.530120481927711,0.636363636363636,0.452380952380952
0007CDC395,0.485981308411215,0.525641025641026,1,0,0.647058823529412,0,0.469879518072289,0,0.421052631578947,0.3
0007CDC443,0.333333333333333,0.709677419354839,0,0.25,0.681818181818182,0,0.363636363636364,0.578947368421053,0,0.142857142857143
0007CDE4F0,0.462962962962963,0.8125,0.8125,0,0.602739726027397,0,0.547619047619048,0.7,0.857142857142857,0
