ID,0007ABF555,0007ACA781,0007CB2224,0007CD38E5,0007CD72E3,0007CD7FB2,0007CD81D3,0007CDEAA7,0007CDEEE2,0007CE0327
0007ABF555,0,0.405797101449275,0.5,0.4,0.444444444444444,0.333333333333333,0.6,1,0.390243902439024,0
0007ACA781,0.594202898550725,0,0.882352941176471,0.8,0.777777777777778,0.5,1,0.2,0.450980392156863,0.714285714285714
0007CB2224,0.5,0.117647058823529,0,0,0.428571428571429,0,0.5,0,0.333333333333333,0.416666666666667
0007CD38E5,0.6,0.2,0,0,0.68,0.15,0.611111111111111,0.333333333333333,0.25,0.6
0007CD72E3,0.555555555555556,0.222222222222222,0.571428571428571,0.32,0,0.285714285714286,0.333333333333333,0.433333333333333,0.2,0
0007CD7FB2,0.666666666666667,0.5,0,0.85,0.714285714285714,0,1,0,1,1
0007CD81D3,0.4,0,0.5,0.388888888888889,0.666666666666667,0,0,0.6,0.6,0.375
0007CDEAA7,0,0.8,0,0.666666666666667,0.566666666666667,1,0.4,0,0.857142857142857,0
0007CDEEE2,0.609756097560976,0.549019607843137,0.666666666666667,0.75,0.8,0,0.4,0.142857142857143,0,0.833333333333333
0007CE0327,0,0.285714285714286,0.583333333333333,0.4,1,0,0.625,0,0.166666666666667,0
