ID,0007CA3A3A,0007CB0942,0007CB2302,0007CB30A6,0007CB3713,0007CB47A6,0007CDDBAF,0007CDE223,0007CDEC0B,0007CE0327
0007CA3A3A,0,0.6,0.444444444444444,0.8,0.727272727272727,0.545454545454545,0.447368421052632,0.583333333333333,0.6,0.210526315789474
0007CB0942,0.4,0,1,0.5,0.25,0,0.425531914893617,0.5,0.727272727272727,0
0007CB2302,0.555555555555556,0,0,0.75,0.4,0,0.666666666666667,0.454545454545455,1,0.5
0007CB30A6,0.2,0.5,0.25,0,0.2,0,0.5,0.2,0,0.5
0007CB3713,0.272727272727273,0.75,0.6,0.8,0,0.36,0.32,0.444444444444444,0.421052631578947,0.55
0007CB47A6,0.454545454545455,1,1,1,0.64,0,0.678571428571429,0.8,0.764705882352941,0.653846153846154
0007CDDBAF,0.552631578947368,0.574468085106383,0.333333333333333,0.5,0.68,0.321428571428571,0,0.622222222222222,0.607142857142857,0.571428571428571
0007CDE223,0.416666666666667,0.5,0.545454545454545,0.8,0.555555555555556,0.2,0.377777777777778,0,0.285714285714286,0.411764705882353
0007CDEC0B,0.4,0.272727272727273,0,0,0.578947368421053,0.235294117647059,0.392857142857143,0.714285714285714,0,0.533333333333333
0007CE0327,0.789473684210526,0,0.5,0.5,0.45,0.346153846153846,0.428571428571429,0.588235294117647,0.466666666666667,0
